        tablename        |                   indexname                    |                                                                                                           indexdef
 inventory_movements     | uq_inv_mov_idem_reason_ref_target              | CREATE UNIQUE INDEX uq_inv_mov_idem_reason_ref_target ON public.inventory_movements USING btree (reason, ref, item_id, location_id, batch_code)
 item_barcodes           | item_barcodes_pkey                             | CREATE UNIQUE INDEX item_barcodes_pkey ON public.item_barcodes USING btree (id)
 item_barcodes           | ix_item_barcodes_item_id                       | CREATE INDEX ix_item_barcodes_item_id ON public.item_barcodes USING btree (item_id)
 item_barcodes           | uq_item_barcodes_barcode                       | CREATE UNIQUE INDEX uq_item_barcodes_barcode ON public.item_barcodes USING btree (barcode)
 item_barcodes           | uq_item_barcodes_primary                       | CREATE UNIQUE INDEX uq_item_barcodes_primary ON public.item_barcodes USING btree (item_id) WHERE (is_primary = true)
 item_uoms               | item_uoms_pkey                                 | CREATE UNIQUE INDEX item_uoms_pkey ON public.item_uoms USING btree (id)
 item_uoms               | uq_item_uoms_item_uom                          | CREATE UNIQUE INDEX uq_item_uoms_item_uom ON public.item_uoms USING btree (item_id, uom)
 item_uoms               | uq_item_uoms_one_base_per_item                 | CREATE UNIQUE INDEX uq_item_uoms_one_base_per_item ON public.item_uoms USING btree (item_id) WHERE (is_base = true)
 item_uoms               | uq_item_uoms_one_inbound_default_per_item      | CREATE UNIQUE INDEX uq_item_uoms_one_inbound_default_per_item ON public.item_uoms USING btree (item_id) WHERE (is_inbound_default = true)
 item_uoms               | uq_item_uoms_one_outbound_default_per_item     | CREATE UNIQUE INDEX uq_item_uoms_one_outbound_default_per_item ON public.item_uoms USING btree (item_id) WHERE (is_outbound_default = true)
 item_uoms               | uq_item_uoms_one_purchase_default_per_item     | CREATE UNIQUE INDEX uq_item_uoms_one_purchase_default_per_item ON public.item_uoms USING btree (item_id) WHERE (is_purchase_default = true)
 items                   | items_pkey                                     | CREATE UNIQUE INDEX items_pkey ON public.items USING btree (id)
 items                   | items_sku_key                                  | CREATE UNIQUE INDEX items_sku_key ON public.items USING btree (sku)
 items                   | ix_items_brand                                 | CREATE INDEX ix_items_brand ON public.items USING btree (brand)
 items                   | ix_items_category                              | CREATE INDEX ix_items_category ON public.items USING btree (category)
 items                   | ix_items_supplier_id                           | CREATE INDEX ix_items_supplier_id ON public.items USING btree (supplier_id)
 lots                    | ix_lots_item                                   | CREATE INDEX ix_lots_item ON public.lots USING btree (item_id)
 lots                    | ix_lots_wh                                     | CREATE INDEX ix_lots_wh ON public.lots USING btree (warehouse_id)
 lots                    | ix_lots_wh_item                                | CREATE INDEX ix_lots_wh_item ON public.lots USING btree (warehouse_id, item_id)
 lots                    | lots_pkey                                      | CREATE UNIQUE INDEX lots_pkey ON public.lots USING btree (id)
 lots                    | uq_lots_id_wh_item                             | CREATE UNIQUE INDEX uq_lots_id_wh_item ON public.lots USING btree (id, warehouse_id, item_id)
 lots                    | uq_lots_internal_wh_item_src_receipt_line      | CREATE UNIQUE INDEX uq_lots_internal_wh_item_src_receipt_line ON public.lots USING btree (warehouse_id, item_id, source_receipt_id, source_line_no) WHERE ((lot_code_source)::text = 'INTERNAL'::text)
 lots                    | uq_lots_wh_item_lot_code                       | CREATE UNIQUE INDEX uq_lots_wh_item_lot_code ON public.lots USING btree (warehouse_id, item_id, lot_code) WHERE (lot_code IS NOT NULL)
 outbound_commits        | ix_outbound_commits_item                       | CREATE INDEX ix_outbound_commits_item ON public.outbound_commits USING btree (item_id)
 outbound_commits        | ix_outbound_commits_loc                        | CREATE INDEX ix_outbound_commits_loc ON public.outbound_commits USING btree (location_id)
 outbound_commits        | ix_outbound_commits_state                      | CREATE INDEX ix_outbound_commits_state ON public.outbound_commits USING btree (state)
 outbound_commits        | ix_outbound_commits_trace_id                   | CREATE INDEX ix_outbound_commits_trace_id ON public.outbound_commits USING btree (trace_id)
 outbound_commits        | outbound_commits_pkey                          | CREATE UNIQUE INDEX outbound_commits_pkey ON public.outbound_commits USING btree (id)
 outbound_commits        | uq_outbound_commits_ref                        | CREATE UNIQUE INDEX uq_outbound_commits_ref ON public.outbound_commits USING btree (ref)
 outbound_commits_v2     | ix_outbound_commits_v2_trace_id                | CREATE INDEX ix_outbound_commits_v2_trace_id ON public.outbound_commits_v2 USING btree (trace_id)
 outbound_commits_v2     | outbound_commits_v2_pkey                       | CREATE UNIQUE INDEX outbound_commits_v2_pkey ON public.outbound_commits_v2 USING btree (id)
 outbound_commits_v2     | uq_outbound_commits_v2_platform_shop_ref       | CREATE UNIQUE INDEX uq_outbound_commits_v2_platform_shop_ref ON public.outbound_commits_v2 USING btree (platform, shop_id, ref)
 outbound_lines_v2       | ix_outbound_lines_v2_commit                    | CREATE INDEX ix_outbound_lines_v2_commit ON public.outbound_lines_v2 USING btree (commit_id)
 outbound_lines_v2       | ix_outbound_lines_v2_slot                      | CREATE INDEX ix_outbound_lines_v2_slot ON public.outbound_lines_v2 USING btree (warehouse_id, item_id, batch_code)
 outbound_lines_v2       | outbound_lines_v2_pkey                         | CREATE UNIQUE INDEX outbound_lines_v2_pkey ON public.outbound_lines_v2 USING btree (id)
 outbound_ship_ops       | ix_outbound_ship_ops_item                      | CREATE INDEX ix_outbound_ship_ops_item ON public.outbound_ship_ops USING btree (item_id)
 outbound_ship_ops       | ix_outbound_ship_ops_ref                       | CREATE INDEX ix_outbound_ship_ops_ref ON public.outbound_ship_ops USING btree (ref)
 outbound_ship_ops       | ix_outbound_ship_ops_store                     | CREATE INDEX ix_outbound_ship_ops_store ON public.outbound_ship_ops USING btree (store_id)
 outbound_ship_ops       | outbound_ship_ops_pkey                         | CREATE UNIQUE INDEX outbound_ship_ops_pkey ON public.outbound_ship_ops USING btree (id)
 outbound_ship_ops       | uq_ship_idem_key                               | CREATE UNIQUE INDEX uq_ship_idem_key ON public.outbound_ship_ops USING btree (store_id, ref, item_id, location_id)
 purchase_order_lines    | ix_purchase_order_lines_item_id                | CREATE INDEX ix_purchase_order_lines_item_id ON public.purchase_order_lines USING btree (item_id)
 purchase_order_lines    | ix_purchase_order_lines_item_sku               | CREATE INDEX ix_purchase_order_lines_item_sku ON public.purchase_order_lines USING btree (item_sku)
 purchase_order_lines    | ix_purchase_order_lines_po_id                  | CREATE INDEX ix_purchase_order_lines_po_id ON public.purchase_order_lines USING btree (po_id)
 purchase_order_lines    | ix_purchase_order_lines_po_id_qty_ordered_base | CREATE INDEX ix_purchase_order_lines_po_id_qty_ordered_base ON public.purchase_order_lines USING btree (po_id, qty_ordered_base)
 purchase_order_lines    | purchase_order_lines_pkey                      | CREATE UNIQUE INDEX purchase_order_lines_pkey ON public.purchase_order_lines USING btree (id)
 purchase_order_lines    | uq_purchase_order_lines_po_id_line_no          | CREATE UNIQUE INDEX uq_purchase_order_lines_po_id_line_no ON public.purchase_order_lines USING btree (po_id, line_no)
 purchase_orders         | ix_purchase_orders_supplier_id                 | CREATE INDEX ix_purchase_orders_supplier_id ON public.purchase_orders USING btree (supplier_id)
 purchase_orders         | ix_purchase_orders_warehouse_id                | CREATE INDEX ix_purchase_orders_warehouse_id ON public.purchase_orders USING btree (warehouse_id)
 purchase_orders         | ix_purchase_orders_wh_status                   | CREATE INDEX ix_purchase_orders_wh_status ON public.purchase_orders USING btree (warehouse_id, status)
 purchase_orders         | purchase_orders_pkey                           | CREATE UNIQUE INDEX purchase_orders_pkey ON public.purchase_orders USING btree (id)
 stock_ledger            | ix_ledger_dims                                 | CREATE INDEX ix_ledger_dims ON public.stock_ledger USING btree (item_id, warehouse_id, lot_id)
 stock_ledger            | ix_stock_ledger_item_id                        | CREATE INDEX ix_stock_ledger_item_id ON public.stock_ledger USING btree (item_id)
 stock_ledger            | ix_stock_ledger_occurred_at                    | CREATE INDEX ix_stock_ledger_occurred_at ON public.stock_ledger USING btree (occurred_at)
 stock_ledger            | ix_stock_ledger_reason_canon                   | CREATE INDEX ix_stock_ledger_reason_canon ON public.stock_ledger USING btree (reason_canon)
 stock_ledger            | ix_stock_ledger_reason_canon_time              | CREATE INDEX ix_stock_ledger_reason_canon_time ON public.stock_ledger USING btree (reason_canon, occurred_at)
 stock_ledger            | ix_stock_ledger_ref                            | CREATE INDEX ix_stock_ledger_ref ON public.stock_ledger USING btree (ref)
 stock_ledger            | ix_stock_ledger_sub_reason                     | CREATE INDEX ix_stock_ledger_sub_reason ON public.stock_ledger USING btree (sub_reason)
 stock_ledger            | ix_stock_ledger_sub_reason_time                | CREATE INDEX ix_stock_ledger_sub_reason_time ON public.stock_ledger USING btree (sub_reason, occurred_at)
 stock_ledger            | ix_stock_ledger_trace_id                       | CREATE INDEX ix_stock_ledger_trace_id ON public.stock_ledger USING btree (trace_id)
 stock_ledger            | ix_stock_ledger_warehouse_id                   | CREATE INDEX ix_stock_ledger_warehouse_id ON public.stock_ledger USING btree (warehouse_id)
 stock_ledger            | stock_ledger_pkey                              | CREATE UNIQUE INDEX stock_ledger_pkey ON public.stock_ledger USING btree (id)
 stock_ledger            | uq_ledger_receipt_wh_lot                       | CREATE UNIQUE INDEX uq_ledger_receipt_wh_lot ON public.stock_ledger USING btree (warehouse_id, lot_id) WHERE ((reason_canon)::text = 'RECEIPT'::text)
 stock_ledger            | uq_ledger_wh_lot_item_reason_ref_line          | CREATE UNIQUE INDEX uq_ledger_wh_lot_item_reason_ref_line ON public.stock_ledger USING btree (reason, ref, ref_line, item_id, warehouse_id, lot_id)
 stock_snapshots         | ix_stock_snapshots_item_id                     | CREATE INDEX ix_stock_snapshots_item_id ON public.stock_snapshots USING btree (item_id)
 stock_snapshots         | ix_stock_snapshots_lot_id                      | CREATE INDEX ix_stock_snapshots_lot_id ON public.stock_snapshots USING btree (lot_id)
 stock_snapshots         | ix_stock_snapshots_snapshot_date               | CREATE INDEX ix_stock_snapshots_snapshot_date ON public.stock_snapshots USING btree (snapshot_date)
 stock_snapshots         | ix_stock_snapshots_warehouse_id                | CREATE INDEX ix_stock_snapshots_warehouse_id ON public.stock_snapshots USING btree (warehouse_id)
 stock_snapshots         | ix_stock_snapshots_wh_item_lot                 | CREATE INDEX ix_stock_snapshots_wh_item_lot ON public.stock_snapshots USING btree (warehouse_id, item_id, lot_id)
 stock_snapshots         | stock_snapshots_pkey                           | CREATE UNIQUE INDEX stock_snapshots_pkey ON public.stock_snapshots USING btree (id)
 stock_snapshots         | uq_stock_snapshots_grain_lot                   | CREATE UNIQUE INDEX uq_stock_snapshots_grain_lot ON public.stock_snapshots USING btree (snapshot_date, warehouse_id, item_id, lot_id)
 stocks_lot              | ix_stocks_lot_item_id                          | CREATE INDEX ix_stocks_lot_item_id ON public.stocks_lot USING btree (item_id)
 stocks_lot              | ix_stocks_lot_warehouse_id                     | CREATE INDEX ix_stocks_lot_warehouse_id ON public.stocks_lot USING btree (warehouse_id)
 stocks_lot              | stocks_lot_pkey                                | CREATE UNIQUE INDEX stocks_lot_pkey ON public.stocks_lot USING btree (id)
 stocks_lot              | uq_stocks_lot_item_wh_lot                      | CREATE UNIQUE INDEX uq_stocks_lot_item_wh_lot ON public.stocks_lot USING btree (item_id, warehouse_id, lot_id)
(101 rows)
